state,year,population
South Carolina,2015,4891938
Nebraska,2015,1891277
Maryland,2014,5957283
Delaware,2020,973764
South Carolina,2012,4717354
Pennsylvania,2016,12782275
Nebraska,2013,1865279
Utah,2010,2775332
Pennsylvania,2018,12800922
Rhode Island,2016,1056770
Maine,2012,1327729
Kansas,2015,2909011
Vermont,2020,623989
Georgia,2019,10617423
South Dakota,2010,816166
Vermont,2013,626210
California,2019,39512223
Pennsylvania,2019,12801989
California,2013,38260787
Michigan,2018,9984072
Florida,2015,20209042
Ohio,2013,11576684
Wisconsin,2011,5705288
District of Columbia,2014,662328
Pennsylvania,2011,12745815
Connecticut,2010,3579114
Indiana,2014,6593644
South Dakota,2016,862996
Kansas,2018,2911359
Delaware,2014,932487
Kansas,2011,2869225
Kansas,2019,2913314
Oklahoma,2017,3931316
Washington,2017,7423362
Wyoming,2014,582531
Maryland,2011,5839419
Montana,2018,1060665
Arkansas,2019,3017804
Louisiana,2011,4575625
Indiana,2019,6732219
Mississippi,2017,2988510
South Carolina,2017,5021268
North Dakota,2011,685225
Montana,2016,1040859
South Dakota,2011,823579
Georgia,2012,9901430
Nevada,2012,2743996
Missouri,2014,6056202
Puerto Rico,2010,3721525
Georgia,2018,10511131
Nebraska,2010,1829542
Puerto Rico,2013,3593077
Oregon,2011,3872036
Ohio,2016,11634370
Nebraska,2014,1879321
Oklahoma,2015,3909500
Massachusetts,2017,6859789
Oklahoma,2014,3878187
Wyoming,2018,577601
Delaware,2017,956823
Puerto Rico,2020,3193694
Maine,2020,1344212
Illinois,2020,12671821
Puerto Rico,2015,3473232
Montana,2011,997316
Rhode Island,2020,1059361
Vermont,2014,625214
Alabama,2019,4903185
Ohio,2012,11548923
Arkansas,2012,2952164
Utah,2013,2897640
Utah,2020,3205958
Ohio,2020,11689100
Virginia,2016,8410106
Florida,2014,19845911
Utah,2016,3041868
North Carolina,2016,10154788
Oregon,2019,4217737
Nevada,2011,2712730
Oklahoma,2013,3853214
Colorado,2015,5450623
Massachusetts,2016,6823608
Rhode Island,2013,1055081
Idaho,2020,1787065
Minnesota,2010,5310828
Georgia,2013,9972479
Wisconsin,2013,5736754
West Virginia,2019,1792147
North Carolina,2018,10381615
Hawaii,2019,1415872
Maine,2016,1331317
Nevada,2017,2969905
Indiana,2013,6568713
Colorado,2019,5758736
Alaska,2016,741456
New Mexico,2020,2096829
Minnesota,2013,5413479
Ohio,2014,11602700
New York,2017,19589572
Mississippi,2020,2976149
New Jersey,2020,8882190
Arkansas,2016,2989918
Colorado,2018,5691287
Oklahoma,2016,3926331
Arizona,2020,7278717
Wyoming,2019,578759
Hawaii,2012,1394804
Rhode Island,2018,1058287
Washington,2019,7614893
Hawaii,2016,1427559
Wisconsin,2017,5790186
Alabama,2015,4852347
South Carolina,2018,5084156
Utah,2012,2853375
Nevada,2020,3080156
North Dakota,2014,737401
Illinois,2016,12820527
Oregon,2014,3963244
Ohio,2017,11659650
Vermont,2018,624358
Arizona,2018,7158024
Iowa,2016,3131371
New Hampshire,2019,1359711
California,2016,39167117
Puerto Rico,2011,3678732
Connecticut,2014,3594524
Kansas,2017,2908718
Kansas,2016,2910844
Nebraska,2011,1840672
Alaska,2012,730443
Minnesota,2018,5606249
Michigan,2015,9931715
New Hampshire,2020,1359711
Connecticut,2015,3587122
Alabama,2010,4785437
New York,2011,19499241
Louisiana,2016,4678135
Kentucky,2019,4467673
Massachusetts,2010,6566307
Connecticut,2018,3571520
Pennsylvania,2020,12801989
Wyoming,2010,564487
Georgia,2010,9711881
Delaware,2019,973764
Delaware,2011,907381
Rhode Island,2019,1059361
District of Columbia,2019,705749
Georgia,2016,10301890
Florida,2017,20963613
Connecticut,2011,3588283
Idaho,2019,1787065
New Mexico,2019,2096829
West Virginia,2012,1856872
Nevada,2016,2917563
Virginia,2010,8023699
Arkansas,2014,2967392
Montana,2017,1052482
Ohio,2019,11689100
Kentucky,2020,4467673
Connecticut,2019,3565287
Missouri,2015,6071732
Kentucky,2017,4452268
Tennessee,2019,6829174
Florida,2012,19297822
Alabama,2012,4815588
New Hampshire,2011,1320202
Idaho,2013,1611206
Montana,2019,1068778
Alaska,2020,731545
Virginia,2013,8252427
New Hampshire,2016,1342307
North Dakota,2020,762062
Iowa,2015,3120960
Delaware,2016,948921
Texas,2014,26964333
New Mexico,2017,2091784
Arkansas,2017,3001345
Florida,2018,21244317
Maryland,2019,6045680
New York,2013,19624447
Indiana,2011,6516528
Vermont,2011,627049
Arizona,2016,6941072
Texas,2020,28995881
California,2018,39461588
Virginia,2018,8501286
Massachusetts,2014,6762596
Arizona,2014,6730413
New Hampshire,2015,1336350
West Virginia,2015,1842050
Florida,2019,21477737
Hawaii,2010,1363963
